reviewId,content,score
c925304f-dcc9-4f89-8163-38defd573b0b,"I've noticed an issue with checking my notifications. I receive notifications just fine, but when I enter the app, I cannot see what I got, especially messages. You'd think it's an internet issue but it happens with or without wifi, even with data, even with 5G. It's bad enough getting spam accounts and bots harassing you in the comments. There are other little bugs here and there too, such as when you save a post and it says ""saved"", but it stays on for a while or even appears stuck.",2
21a3b756-bbbc-491d-963a-0503e0628c80,Very good app 🤩🥳,5
fa6e67cb-48f5-43c8-8376-53263c93a4b3,Super,4
7156d651-42d2-446a-a783-a6f2c7c04daf,Download,5
89d77170-a56c-4f88-9d22-d6da75b65a5c,Amazing. Quality of the pictures 100% theee best,5
032a7317-021b-45b0-8117-26598bcefae1,Nothing Just please stop the nudity sexual things on instagram its not a porn site,5
1114a8e8-ad1b-4cea-8fd8-e9463e850b2c,LOVE IT,3
32d627de-aabc-4d7c-a255-c06aa9e8d4e3,خوب,1
09ab3a38-ac37-43a0-b5e4-6825e98554e3,Nice,1
1864c9ea-c085-4570-80be-dc8db2f5449b,👍 nice safe full,5
08b8d882-902f-487d-8442-a59d21469fea,This app is very good 👍 love this app,5
694ea92c-f60f-48fc-b7c0-513daf43aa2a,So many bugs and glitches....,1
0e47c6b3-0126-427e-b189-2ee2fbec646a,Like to instagram,5
e63538c3-d7ef-4d4d-bc17-773c43c81c85,Just increase my followers 🙂🔪,5
0e66c8ee-7377-4ed9-af59-4dbc31566c7f,Good,5
4b9bc80a-4b36-4f89-8020-0ac532e4959b,Very nice aap ❤️❤️❤️❤️,5
55991fea-8161-4233-9db2-5848b686c26d,Don't dastaf add,1
130e0693-e024-4748-ac68-6052516070a6,Op,5
3235e860-f001-4b91-b947-a91a73b406ba,Lllgovind lllgehlot,5
8ec74f01-20aa-46fb-96de-3223e94549f2,One of the best apps I've ever used,4
0d75ae63-a902-4c0a-86c1-c18ad97b7fcf,App doesn't work 😡😡😡,3
74da0ba5-fe3b-4a34-a981-6f36f558fdac,Mice game,5
878b3ae7-115c-4459-9d6d-4e87eebb9d66,Unban those 5000 Hinduism Instagram pages,1
5d451591-17f9-4e17-a034-2437d6533543,Same I stuff,1
73bab139-5fb0-4cfd-8335-d04a12664060,Superr,5
e901f1a0-ee2c-495d-ae27-a5509c3a609a,Rehan__don__2329__16,5
6e72b8e9-9167-4e81-8a29-587f69bf72ec,so useful app bro,5
470f7a97-8e3d-44f5-8a63-2ff4d58691a3,Good app,5
efdc9600-83a1-4c2e-83a5-ac8e3f2939ee,Good,5
9b81b410-a03a-42e0-9d6b-1080365c4c20,Nice one,5
a42cf98c-da45-43d8-8fbf-a37fc03f10dd,Bekar ha,1
be9097c7-8d67-42a4-8812-de8cdf49e716,❤,5
52456ac3-b4e4-4955-90f7-716d876d6a77,Veri good aaplication,5
66e617ec-3201-4290-8a5e-1e1645a167be,Easy to use,5
7694a391-2bad-4a00-a4a2-9dd3c85842d6,Glitchy can't find music I want please fix cant also change profile picture either cant switch private public to public so buggy cannot switch to private account,1
664acf3a-6be4-4751-8bb4-76874831aeef,Super,5
97eff0f7-43f3-4542-8008-3f4cb494f890,Not gud,5
be11e822-190d-4ae8-99f4-4a6ee581b9b6,This is the one of my fav app the futures of this apps are so excellent,4
3ec243d3-bbaa-4a86-b7b8-9ae1aa2523d5,Notre,5
e98e34d2-f458-4f55-bb4e-1058cd0de79b,Good,5
34e17ced-a60f-4192-8ea8-82911a6e6277,Nice app,5
e491b0cb-b25b-4f55-93bc-2146c55a62af,Nice app,1
9e53b3a9-b5ef-4102-bef4-ac7ef09f5420,Lodu,3
475b1352-2ff9-40a0-a83e-c66aa6a767b6,Bed app,1
8ccad6dd-dc28-4815-90f9-1b91324538c6,Lodu,5
da39f880-6110-402c-ace0-ef5309a589d1,Day day this app get a new bug,1
b6ffb887-4cb3-4596-a3a3-9be96a687bdf,My school life. 2,3
7fe41aca-c78f-48e9-994d-222e66aaf563,Please banned abusive soft porn videos and propaganda,2
f9bb1396-e998-4c3c-9b2d-eaf097e57070,This is one of the best app ever,5
6d46caaa-57e0-4e5e-b6f9-63469445c783,Very nice app especially when you are doing business,5
ec63ecb5-d2a4-432a-9aa4-6c01d8061a2d,good apps,5
5df6ba42-ba00-408f-8cf7-f9367394c5d5,Nice app,4
cb8b5872-01c1-4192-a0f1-94c1717ba2ab,😆👍👍👍👍,5
41a6e427-70ce-433e-845f-3d5dbfa922f2,N8ceapk,5
1a36eb3a-3344-4031-9d46-6f915759df4b,I don't have notes :(,4
31a370a4-cbe0-4dbf-a555-6a2a2efaaa93,Very nice app,5
f8fc5a22-7e70-45a0-9533-a7c7a2c9dd2a,That's very good online platform,5
b268ea68-702a-4698-9782-6e0c5817477d,Pasand hai but koi chalane nhi deta,5
3bf1ebf7-4297-4a22-a322-72f928efda8e,Nice app,5
2caf9006-0fd3-4608-9624-8977e0e4f310,Instagram Good media i like it😍🙂,5
2440c247-ceb8-449b-aa98-6c53d6e574fc,Good app,5
380bd196-3e54-400c-9814-1547c625e50a,Best social media application,4
ba1b0ff4-b1a6-40ad-82cb-544c304ea229,"Enjoy makenya n mudah bagus , bisa buat apa aja",5
2d820f63-d460-40a1-998f-14fda733a12f,My reel is stuck at 0 views what is this glitch. It's happening since a month.,1
